"Subject","Word","Pupil","Paragraph","Brightness","Story","Vividness","Suspense","Word_order"
"P02M26","story2_bright2_fyrlykt",0.0538129378488733,"story2_bright2","bright","story2",5,2,1
"P02M26","story2_bright2_gjennomskinnelig",0.0265737561850834,"story2_bright2","bright","story2",5,2,2
"P02M26","story2_bright2_lys",-0.0400489322817764,"story2_bright2","bright","story2",5,2,3
"P02M26","story2_bright2_opplyste",-0.0698184373209806,"story2_bright2","bright","story2",5,2,4
"P02M26","story2_bright2_skimrende",-0.0879817462857826,"story2_bright2","bright","story2",5,2,5
"P02M26","story2_bright2_strålene",-0.0954242739171052,"story2_bright2","bright","story2",5,2,6
"P02M26","story2_bright2_gløden",-0.141586428558031,"story2_bright2","bright","story2",5,2,7
"P02M26","story2_bright2_lampene",-0.147395554070208,"story2_bright2","bright","story2",5,2,8
"P02M26","story2_bright2_gylne",-0.140812323394691,"story2_bright2","bright","story2",5,2,9
"P02M26","story2_bright2_glansen",-0.138990742756698,"story2_bright2","bright","story2",5,2,10
"P02M26","story2_dark_ugjennomsiktig",0.06729962514461,"story2_dark","dark","story2",5,2,1
"P02M26","story2_dark_mørke",0.080741832825585,"story2_dark","dark","story2",5,2,2
"P02M26","story2_dark_beksvart",-0.00633074013689625,"story2_dark","dark","story2",5,2,3
"P02M26","story2_dark_svartheten",-0.0369877476616456,"story2_dark","dark","story2",5,2,4
"P02M26","story2_dark_dystre",-0.094821837918466,"story2_dark","dark","story2",5,2,5
"P02M26","story2_dark_mørket",-0.098072899035224,"story2_dark","dark","story2",5,2,6
"P02M26","story2_dark_dunkle_2",-0.107552884437091,"story2_dark","dark","story2",5,2,7
"P02M26","story2_dark_skygger_2",-0.111814752889898,"story2_dark","dark","story2",5,2,8
"P02M26","story2_dark_mørke_2",-0.137736634800109,"story2_dark","dark","story2",5,2,9
"P02M26","story2_dark_natten",-0.133753453449301,"story2_dark","dark","story2",5,2,10
"P02M26","story3_bright_opplyst",0.0741790353107445,"story3_bright","bright","story3",5,6,1
"P02M26","story3_bright_skinnende_2",0.0724722905869771,"story3_bright","bright","story3",5,6,2
"P02M26","story3_bright_gnistrende",0.0141333445535291,"story3_bright","bright","story3",5,6,3
"P02M26","story3_bright_belysningen_2",0.019622980720369,"story3_bright","bright","story3",5,6,4
"P02M26","story3_bright_strålte",-0.0727476369288225,"story3_bright","bright","story3",5,6,5
"P02M26","story3_bright_skimrende_2",-0.106880172730779,"story3_bright","bright","story3",5,6,6
"P02M26","story3_bright_lyset_3",-0.10716174024305,"story3_bright","bright","story3",5,6,7
"P02M26","story3_bright_glødende",-0.15135797475022,"story3_bright","bright","story3",5,6,8
"P02M26","story3_bright_klarhet",-0.170641333271172,"story3_bright","bright","story3",5,6,9
"P02M26","story3_bright_glinset_2",-0.124627698171352,"story3_bright","bright","story3",5,6,10
"P02M26","story3_dark1_kveldsmørket",0.071218141730031,"story3_dark1","dark","story3",5,6,1
"P02M26","story3_dark1_dunkle_3",0.0264792774481835,"story3_dark1","dark","story3",5,6,2
"P02M26","story3_dark1_skygger_3",0.00975937249614585,"story3_dark1","dark","story3",5,6,3
"P02M26","story3_dark1_beksvart_2",-0.0659294804908896,"story3_dark1","dark","story3",5,6,4
"P02M26","story3_dark1_mørke_3",-0.0896941859304542,"story3_dark1","dark","story3",5,6,5
"P02M26","story3_dark1_dyp",-0.123525200053491,"story3_dark1","dark","story3",5,6,6
"P02M26","story3_dark1_sort",-0.130794897933983,"story3_dark1","dark","story3",5,6,7
"P02M26","story3_dark1_ugjennomsiktig_2",-0.127041247415594,"story3_dark1","dark","story3",5,6,8
"P02M26","story3_dark1_nedtonet",-0.131724424918397,"story3_dark1","dark","story3",5,6,9
"P02M26","story3_dark1_skyggeaktig",-0.131577134610079,"story3_dark1","dark","story3",5,6,10
"P02M26","story3_dark2_nattens",0.0603370297993658,"story3_dark2","dark","story3",5,6,1
"P02M26","story3_dark2_mørke_4",0.0704738818817337,"story3_dark2","dark","story3",5,6,2
"P02M26","story3_dark2_formørkede",0.0160045626094883,"story3_dark2","dark","story3",5,6,3
"P02M26","story3_dark2_dysterheten",-0.000967667690357388,"story3_dark2","dark","story3",5,6,4
"P02M26","story3_dark2_dempede",-0.0685614190921753,"story3_dark2","dark","story3",5,6,5
"P02M26","story3_dark2_skygger_4",-0.0732235238901227,"story3_dark2","dark","story3",5,6,6
"P02M26","story3_dark2_beksvart_3",-0.101891609772519,"story3_dark2","dark","story3",5,6,7
"P02M26","story3_dark2_uklare",-0.17566992985294,"story3_dark2","dark","story3",5,6,8
"P02M26","story3_dark2_midnatten",-0.179651657191407,"story3_dark2","dark","story3",5,6,9
"P02M26","story3_dark2_nattaktive",-0.151122493697634,"story3_dark2","dark","story3",5,6,10
"P02M26","story4_bright_frontlysene",0.0317081424566288,"story4_bright","bright","story4",5,6,1
"P02M26","story4_bright_blendende_3",0.00999051101137235,"story4_bright","bright","story4",5,6,2
"P02M26","story4_bright_lysstråler",0.0272419878706998,"story4_bright","bright","story4",5,6,3
"P02M26","story4_bright_glødende_2",-0.0703343638717234,"story4_bright","bright","story4",5,6,4
"P02M26","story4_bright_lyskilde",-0.0712299029406968,"story4_bright","bright","story4",5,6,5
"P02M26","story4_bright_lyskasterne",-0.0985846692613064,"story4_bright","bright","story4",5,6,6
"P02M26","story4_bright_gnistrende_2",-0.171828937338331,"story4_bright","bright","story4",5,6,7
"P02M26","story4_bright_strålene_2",-0.171380098038749,"story4_bright","bright","story4",5,6,8
"P02M26","story4_bright_skinnende_3",-0.133674198471024,"story4_bright","bright","story4",5,6,9
"P02M26","story4_bright_klarheten",-0.127626275944862,"story4_bright","bright","story4",5,6,10
"P02M26","story4_dark1_nattsvart",0.0596526843560947,"story4_dark1","dark","story4",5,6,1
"P02M26","story4_dark1_dunkle_4",0.0208078142846156,"story4_dark1","dark","story4",5,6,2
"P02M26","story4_dark1_dempede_2",0.0232695987155466,"story4_dark1","dark","story4",5,6,3
"P02M26","story4_dark1_nattlig",-0.0468893068783011,"story4_dark1","dark","story4",5,6,4
"P02M26","story4_dark1_dunkelhet",-0.0654232128760143,"story4_dark1","dark","story4",5,6,5
"P02M26","story4_dark1_uklare_2",-0.0813183256945625,"story4_dark1","dark","story4",5,6,6
"P02M26","story4_dark1_svartheten_2",-0.0887931067749313,"story4_dark1","dark","story4",5,6,7
"P02M26","story4_dark1_skyggeleggende",-0.176636871950542,"story4_dark1","dark","story4",5,6,8
"P02M26","story4_dark1_mørket_2",-0.159175638629059,"story4_dark1","dark","story4",5,6,9
"P02M26","story4_dark1_nedtonede",-0.127700412948132,"story4_dark1","dark","story4",5,6,10
"P02M26","story4_dark2_slukkede",0.0605104519035927,"story4_dark2","dark","story4",5,6,1
"P02M26","story4_dark2_skyggeverdenen",0.0608319037836348,"story4_dark2","dark","story4",5,6,2
"P02M26","story4_dark2_mørklagte",-0.0306823519854478,"story4_dark2","dark","story4",5,6,3
"P02M26","story4_dark2_mørke_5",-0.0919942520959237,"story4_dark2","dark","story4",5,6,4
"P02M26","story4_dark2_skyggene",-0.0842114816543426,"story4_dark2","dark","story4",5,6,5
"P02M26","story4_dark2_bekmørke",-0.136831713979967,"story4_dark2","dark","story4",5,6,6
